ID,quote,Author
623,"“We need more than just the Law of Attraction. We need to connect with its more successful twin, the Law of Generosity. And further entwine ourselves with their parent; the Law of Love.”","
    Steve Maraboli,
  "
624,“Fear has the role we give it. We are able to empower or poison ourselves to whatever degree we want. This is the beauty of our design.”,"
    Steve Maraboli,
  "
625,“You‘ve been given the innate power to shape your life.”,"
    Steve Maraboli,
  "
626,“There are two things essential if you want to enhance your Jedi self-confidence:,"
    Stephen Richards,
  "
627,"“The face is the mirror of the mind, and eyes without speaking confess the secrets of the heart.”","
    Saint Jerome
  "
628,“You would not be here TODAY if YESTERDAY was your defining moment. LIVE THIS DAY and move towards your dreams.”,"
    Steve Maraboli,
  "
629,“Every great leader can take you back to a defining moment when they decided to lead”,"
    John Paul Warren
  "
630,“The only way you're going to reach places you've never gone is if you trust God's direction to do things you've never done.”,"
    Germany Kent
  "
631,"“Yet how hard most people work for mere dust and ashes and care, taking no thought of growing in knowledge and grace, never having time to get in sight of their own ignorance.”","
    John Muir,
  "
632,“Sometimes we have to soak ourselves in the tears and fears of the past to water our future gardens.”,"
    Suzy Kassem,
  "
633,"“You be as angry as you need to be,"" she said. ""Don't let anyone tell you otherwise. Not your grandma, not your dad, no one. And if you need to break things, then by God, you break them good and hard.""","
    Patrick Ness,
  "
634,“The difference between being mediocre and achieving excellence is you.”,"
    Stephen Richards,
  "
635,"“A real decision is measured by the fact that you've taken a new action. If there's no action, you haven't truly decided.”","
    Anthony Robbins,
  "
636,“A failure is always in the passenger seat in his or her life.”,"
    Stephen Richards,
  "
637,“Pursue your goal. Opinions be damned.”,"
    Stacy Verdick Case
  "
638,"“At any given point you can release your greatest self. Don’t let anyone hold you back. Don’t let anyone dilute you. Don’t be peer pressured into being less than you are. People willing to dilute themselves for the sake of others is one of the great tragedies of our time. Stop letting others define and set the pace for your life. Get out there and be your best. Do your best. Live your best. Make every day count and you’ll see how exponentially more exciting, thrilling, successful, happy and full your life will be.”","
    Steve Maraboli,
  "
639,"“Until one is committed there is hesitancy, the chance to draw back, always ineffectiveness. Concerning all acts of initative or creation, there is one elementary truth...that the moment one definitely commits oneself, then Providence moves. too. All sorts of things occur to help one that would otherwise never have occurred. A whole stream of events issues from the decision, raising in ones's favor all manner of incidents and meetings and material assistance which no man would have believed would have come his way.","
    W.H. Murray The Scottish Himalayan Expedition
  "
640,“All worries are less with wine.”,"
    Amit Kalantri,
  "
641,"“How many of us stop short of success on purpose? How many of us sabotage our own happiness because failure, while miserable, is a fear we're familiar with? Success, however, dreams come true, are a whole new kind of terrifying, an entire new species of responsibilities and disillusions, requiring a new way to think, act and become. Why do we REALLY quit? Because it's hopeless? Or because it's possible...”","
    Jennifer DeLucy
  "
642,"“If you don't make the time to work on creating the life you want, you're eventually going to be forced to spend a LOT of time dealing with a life you don't want.”","
    Kevin Ngo,
  "
643,"“A Master Jedi feels emotions, but they do not allow them to influence their reasoning. Yoda told Luke that he would know the good from the bad when he was 'calm, at peace.”","
    Stephen Richards,
  "
644,"“The difference between those who adapted and those who didn't, Gorton said, was a willingness to totally commit.”","
    Arnold Schwarzenegger,
  "
645,“You will never get everything in life but you will get enough.”,"
    Sanhita Baruah
  "
646,"“Certain situations need a Jedi-like approach. One of these is when you are in a strange environment, usually where you feel unsure of yourself. You would be surprised how, if you walk with confidence and meaning, people will see this as a mark of confidence, yet you are perhaps shaking inside but outwardly you have the gait of a confident Jedi Knight.”","
    Stephen Richards,
  "
647,"“We need to send our words out in the direction we want them to go. In other words, we need to start talking victory when we’re staring at defeat. We need to start talking healing when we’re feeling sick. We need to start blessing and prosperity when we don’t have anything. We need to speak about marching when we feel like quitting.”","
    Jentezen Franklin,
  "
648,“It's not always what we don't know that gets in our way; sometimes it's what we think we know that keeps us from learning.”,"
    Steve Maraboli,
  "
649,"“When in doubt, throw doubt out and have a little faith....”","
    E.A. Bucchianeri,
  "
650,“Love is perhaps the only emotions that is boundless”,"
    Santosh Avvannavar,
  "
651,"“If the painter wishes to see beauties that charm him, it lies in his power to create them, and if he wishes to see monstrosities that are frightful, ridiculous, or truly pitiable, he is lord and God thereof.”","
    Leonardo da Vinci,
  "
652,“ننامُ كثيرا أفلا نحلمُ قليلا”,"
    ياسر حارب,
  "
653,"“Music shouldn't be just a tune, it should be a touch.”","
    Amit Kalantri,
  "
654,“Uncertainty will always be part of the taking charge process.”,"
    Harold Geneen
  "
655,"“To be happy, you have to risk being unhappy.”","
    Ogwo David Emenike,
  "
656,“One often has to do what they have to do in order to do what they want to do; however if you only do what you want to do then you will never do what you have to do!”,"
    Dr. C. Moorer,
  "
657,"“Never stop acquiring the commonsense, it is as good as the knowledge.”","
    Amit Kalantri
  "
658,"“Remember diamonds are created under pressure so hold on, it will be your time to shine soon.”","
    Sope Agbelusi
  "
659,"“Like love, like talent, like any other virtue, like anything else in this life, happiness needs to be nurtured - this is the truth of the whole matter.”","
    Ogwo David Emenike,
  "
660,"“Jedi act with confidence, move with confidence, and breathe with confidence. Jedi possess a confident calmness in their looks, attitude and","
    Stephen Richards
  "
661,"“The power behind taking responsibility for your actions lies in putting an end to negative thought patterns. You no longer dwell on what went wrong or focus on whom you are going to blame. You don't waste time building roadblocks to your success. Instead, you are set free and can now focus on succeeding.”","
    Lorii Myers
  "
662,“Positive belief in yourself will give you the energy needed to conquer the world and this belief is the power behind all creation.”,"
    Stephen Richards,
  "
663,“A mind of moderate capacity which closely pursues one study must infallibly arrive at great proficiency in that study.”,"
    Mary Shelley,
  "
664,“Believe with all your heart that you will do what you were made to do.”,"
    Orison Swett Marden
  "
665,"“Changes are inevitable and not always controllable. What can be controlled is how you manage, react to and work through the change process.”","
    Kelly A. Morgan
  "
666,"“Do the things you used to talk about doing but never did. Know when to let go and when to hold on tight. Stop rushing. Don't be intimidated to say it like it is. Stop apologizing all the time. Learn to say no, so your yes has some oomph. Spend time with the friends who lift you up, and cut loose the ones who bring you down. Stop giving your power away. Be more concerned with being interested than being interesting. Be old enough to appreciate your freedom, and young enough to enjoy it. Finally know who you are.”","
    Kristin Armstrong
  "
667,“A true dreamer is one who knows how to navigate in the dark”.”,"
    John Paul Warren
  "
668,"“Though money cannot acquire you happiness, it does not mean that both money and happiness cannot exist together.”","
    Stephen Richards,
  "
669,“Perseverance is the act of true role models and heroes.”,"
    Liza Wiemer
  "
670,“You have had a dream for so many years. Let today be the day you make a plan for it. Just think about how much more likely you are to hit your target when you finally aim at it.”,"
    Steve Maraboli,
  "
671,"“Winning is great, but if it's not enough then then you'll never have enough!”","
    Stephen Richards
  "
672,“Whatever belief we have actually stems from the thankfulness that we feel and this feeling further attracts more happy feelings towards us.”,"
    Stephen Richards,
  "
673,“Once you figure out what you want in life—expect nothing less.”,"
    Lorii Myers,
  "
674,"“Once you understand how powerful you are within, you exponentially increase the power and potentiality of everything outside of you.”","
    Steve Maraboli,
  "
675,"“When something poses as obstacle to you,surmount it and use it as a miracle to move on to greater height.”","
    Ifeanyi Enoch Onuoha,
  "
676,"“The madder it makes you, the harder you need to laugh at it.”","
    Destiny Booze
  "
677,"“Dear Fellow Human Being,","
    Jasz  Gill
  "
678,"“Your self-confidence is simply the part of your brain that tells you whether or not you should try something different or new or believe in yourself, and just as a Jedi truly believes that it is within their power to control their thoughts and stay in the Light, so can you.”","
    Stephen Richards,
  "
679,“We can’t continuously be a society of well-wishers. We must take action to bring those wishes to fruition.”,"
    Steve Maraboli
  "
680,“أعْجَزُ الناس المتشائمون وأقلّهم حظاً أقلّهم أملا”,"
    ياسر حارب,
  "
681,"“Do the best you can, with what you can, while you can, and success in inevitable.”","
    Steve Maraboli,
  "
682,"“How would your life be different if...You could control the outcome of your day, your week, your year? Let today be the day...You embrace the truth that you DO have such control to label every event in your life, and create an agreement with reality that empowers you and propels you to greatness.”","
    Steve Maraboli,
  "
683,“One should measure their life by the faith they embrace and the relationships they cherish”,"
    John Paul Warren
  "
684,"“You’ve got one life, one shot, and all the power to make it happen. Get ready to dream big and live big. It’s all up to you. And it starts now.”","
    Jolene Stockman,
  "
685,"“In the face of adversity, we have a choice.","
    Caryn Sullivan,
  "
686,“المبدعون لا يُبهروننا فقط ولكنهم يمنحوننا الأمل ويُجددون الطاقات المكبوتة بداخلنا فَهُم الشموع التي تُبدد الظلام ولا تلعنه”,"
    ياسر حارب,
  "
687,"“Success is something you experience when you act accordingly. Success is not something you have, it’s something you do.”","
    Steve Maraboli
  "
688,"“For self-educated scientists and thinkers such as Charles Darwin, Srinivasa Ramanujan, Leonardo-da-Vinci, Michael Faraday, myself and many others, education is a relentless voyage of discovery. To us education is an everlasting quest for knowledge and wisdom.”","
    Abhijit Naskar,
  "
689,“Recovery is full of ups and downs.,"
    Brittany Burgunder
  "
690,“Always have a 'Plan C”,"
    Zoltan Andrejkovics,
  "
691,"“In traveling, a companion, in life, compassion,'"" she repeats, making sure of it. If she had paper and pencil, it wouldn't surprise me if she wrote it down. ""So what does that really mean? In simple terms.""","
    Haruki Murakami,
  "
692,“Never underestimate the power you have to take your life in a new direction.”,"
    Germany Kent
  "
693,“The world is my church. My actions are my prayer. My behavior is my creed.”,"
    Steve Maraboli,
  "
694,“A barrier is a limitation only when you perceive it as one.”,"
    Stephen Richards,
  "
695,“I have learned that the harder you fall…the higher you bounce!”,"
    John Paul Warren
  "
696,"“Today, you have the opportunity to transcend from a disempowered mindset of existence to an empowered reality of purpose-driven living. Today is a new day that has been handed to you for shaping. You have the tools, now get out there and create a masterpiece.”","
    Steve Maraboli,
  "
697,“Have faith in the universe and its capability to lead you to the path of abundance.”,"
    Stephen Richards,
  "
698,"“A great dread fell on him, as if he was awaiting the pronouncement of some doom that he had long foreseen and vainly hoped might after all never be spoken. An overwhelming longing to rest and remain at peace by Bilbo's side in Rivendell filled all his heart. At last with an effort he spoke, and wondered to hear his own words, as if some other will was using his small voice.","
    J.R.R. Tolkien
  "
699,“الانشغال بالألم هو توقّفٌ مؤقَتٌ عن الحياة وهو إقحامٌ ساذج للعجز في عقولنا والعظماء فقط من يرون في الألم أكبر دافع للمقاومة”,"
    ياسر حارب,
  "
700,"“Pain? Yes, of course. Racing without pain is not racing. But the pleasure of being ahead outweighed the pain a million times over. To hell with the pain. What's six minutes of pain compared to the pain they're going to feel for the next six months or six decades. You never forget your wins and losses in this sport. YOU NEVER FORGET.”","
    Brad Alan Lewis,
  "
701,“Coming to the END of MYSELF and all SELF effort...seems to be the very point that God steps in and shows HIMSELF to be more than ENOUGH.”,"
    John Paul Warren
  "
702,“A story meant to motivate all and sundry irrespective of their circumstances”,"
    Santosh Avvannavar,
  "
703,"“Most people know the physical senses, but a lot of people don’t know the soul’s senses: empathy, trust, intuition, love and harmony”","
    Steven Aitchison
  "
704,“I want every girl in the world to pick up a guitar and start screaming.”,"
    Courtney Love
  "
705,"“On the other hand, if the future is not the one you chose then you may have to use your willpower to obtain the future of your liking.”","
    Stephen Richards,
  "
706,“Choice forms the divider which is responsible for the formation of all futures that can be possible.”,"
    Stephen Richards,
  "
707,"“It is in the balancing of your spirituality with your humanity that you will find immeasurable happiness, success, good health, and love.”","
    Steve Maraboli,
  "
708,"“Forgive to forget, do not forget to forgive”","
    Santosh Avvannavar,
  "
709,“قد لا يفارقك الألم ولكنك تستطيع أن تفارقه”,"
    ياسر حارب,
  "
710,“An empowered life begins with serious personal questions about oneself. Those answers bare the seeds of success.”,"
    Steve Maraboli,
  "
711,"“If the world is a book, are you the hero, or just a walk-on part?”","
    K.J. Parker,
  "
712,"“One thing I have learned from many years of watching my father is that some people, the best ones, are motivated more by the chance to prove themselves than by a command to serve. It is the work itself that calls them onward, especially if they believe they are the only ones who can do it.”","
    Rae Carson,
  "
713,"“A cord that remains, always. in many ways...”","
    Santosh Avvannavar
  "
714,"“When life's got you down, keep your head up... you can't see the ground anyway”","
    Nicole  Rae
  "
715,"“If you won’t trust yourself, nobody else will.”","
    Anamika Mishra
  "
716,"“Don't get too deep, it leads to over thinking, and over thinking leads to problems that don't even exist in the first place.”","
    Jayson Engay
  "
717,“Let them be what they want to be. Make yourselves what you want to be.”,"
    Harshvardhan Malpani
  "
718,“God can take the ordinary and create the extraordinary. Our incredible God has the power to transform your simple life and give you the life of your dreams. Remarkable things happen in your life when you believe.”,"
    Amaka Imani Nkosazana,
  "
719,"“War is not just the shower of bullets and bombs from both sides, it is also the shower of blood and bones on both sides.”","
    Amit Kalantri,
  "
720,“A farmer is a magician who produces money from the mud.”,"
    Amit Kalantri,
  "
721,“Don't be distracted by criticism. Remember ~ the only taste of success some people have is when they take a bite out of you.”,"
    Zig Ziglar 
  "
722,"“If you want your prayers answered, get up off your knees and do something about them.”","
    Wally Lamb,
  "
723,“Strength wasn‘t about being able to do everything alone. Strength was knowing when to ask for help and not being too proud to do it.”,"
    Karen Marie Moning,
  "
724,"“To become a master at any skill, it takes the total effort of your: heart, mind, and soul working together in tandem.”","
    Maurice Young
  "
725,“What we perceive about ourselves is greatly a reflection of how we will end up living our lives.”,"
    Stephen Richards,
  "
726,"“Stop comparing yourself with others. If they are good at something, you too are good at something else. Self-confidence is not measured by your own capabilities versus that of others, but by your own needs.”","
    Stephen Richards,
  "
727,“Yawns are not the only infectious things out there besides germs.,"
    Vera Nazarian
  "
728,“What if I told you 10 years from now your life would be exactly the same?,"
    Karen Salmansohn
  "
729,“Concentrate more on your achievements than your failures. Learn to take the failures as opportunities to rectify your errors.”,"
    Stephen Richards,
  "
730,“Each person has got a voice inside them. Communicate with it and take hold of it. Do not let it push and shove you around – you are its master!”,"
    Stephen Richards,
  "
731,"“You’re only responsible for yourself, Jess. And that’s the only person you can control. Other people will either get it or they won’t but you can’t define yourself by their opinions.”","
    Susan Mallery,
  "
732,“How we relate with other people is dependent on how we rate ourselves and what we think about ourselves.”,"
    Stephen Richards,
  "
733,"“If life throws you a few bad notes or vibrations, don't let them interrupt or alter your song.”","
    Suzy Kassem,
  "
734,“Failures can be called ‘strengtheners’ as they make you determined to reach your goal with the lessons they teach.”,"
    Stephen Richards,
  "
735,“Always make your future bigger than your past.”,"
    Dan Sullivan,
  "
736,“Nothing that happens to you was meant to be. The only thing about you that was meant to be is you. Blaze your own trail.”,"
    George Alexiou
  "
737,“Have nuts and be nuts.”,"
    Criss Jami,
  "
738,"“According to the Law of Attraction, the physical reality that you experience at present is drawn towards the future probability you desired when it attains more power.”","
    Stephen Richards,
  "
739,"“I may not be where I want to be, but if I stop now, I'll NEVER get where I'm going!”","
    Laura  Lynch,
  "
740,“Our own self-esteem is something we can actually twist in whatever way we want.”,"
    Stephen Richards,
  "
741,"“Self-belief, also called self-efficacy, is the kind of feeling you have when you have, like a Jedi, mastered a particular kind of skill and with its help have been able to achieve your set goals.”","
    Stephen Richards,
  "
742,"“We've also evolved the ability to simply 'pay it forward': I help you, somebody else will help me. I remember hearing a parable when I was younger, about a father who lifts his young son onto his back to carry him across a flooding river. 'When I am older,' said the boy to his father, 'I will carry you across this river as you now do for me.' 'No, you won't,' said the father stoically. 'When you are older you will have your own concerns. All I expect is that one day you will carry your own son across this river as I no do for you.' Cultivating this attitude is an important part of Humanism--to realize that life without God can be much more than a series of strict tit-for-tat transactions where you pay me and I pay you back. Learning to pay it forward can add a tremendous sense of meaning and dignity to our lives. Simply put, it feels good to give to others, whether we get back or not.”","
    Greg Epstein,
  "
743,"“Without adversity, there would be no growth, and without growth, there would be no lesson to be learned.”","
    Michelle D. Rosado,
  "
744,“إن من يُحب يُهدي ومن يُهدي يحب وخير هدية هو الحب ذاته، فهو البقاء بعد الرحيل وهو الحياة بعد الموت وهو الكلمة التي لا تحتاج إلى قاموس”,"
    ياسر حارب,
  "
745,“Going down in history is a dead end pursuit”,"
    Benny Bellamacina
  "
746,"“There is no real world, just the one you create.”","
    Jolene Stockman,
  "
747,"“In the spiritual world many forms of the physical universe that are potentially effective can be perceived but with regard to time, we can observe only one form.”","
    Stephen Richards,
  "
748,"“All my life I've been fascinated by the precipice in all of us. When you come to it, you either choose to fall or you don’t --Alvin Ailey”","
    Kathy Petrakis,
  "
749,"“What if not just women, but both men and women, worked smart, more flexible schedules? What if the workplace itself was more fluid than the rigid and narrow ladder to success of the ideal worker? And what if both men and women became responsible for raising children and managing the home, sharing work, love, and play? Could everyone then live whole lives?”","
    Brigid Schulte,
  "
750,"“If your failure is not a lesson, it's indeed a failure.”","
    Ogwo David Emenike,
  "
751,"“If the fire in your heart is strong enough, it will burn away any obstacles that come your way.”","
    Suzy Kassem,
  "
752,"“Then holding the star aloft and the bright sword advanced, Frodo, hobbit of the Shire, walked steadily down to meet the eyes.”","
    J.R.R. Tolkien,
  "
753,"“Taking the decision-making process away from people disempowers them. It also makes them much less likely to buy into the decision, however right it may be. One’s own conscience remains the ultimate arbiter.”","
    Lama Surya Das
  "
754,“Reconnect with the highest truth and ignite the divine sparks in you.”,"
    Amit Ray,
  "
755,“Some of the most powerful speeches I have given have been delivered in the dedicated silence of my actions.”,"
    Steve Maraboli,
  "
756,"“Similar to a butterfly, I've gone through a metamorphosis, been released from my dark cocoon, embraced my wings, and soared!”","
    Dana Arcuri,
  "
757,"“But confining myself more to the particular, I say that a prince may be seen happy to-day and ruined to-morrow without having shown any change of disposition or character. This, I believe, arises firstly from causes that have already been discussed at length, namely, that the prince who relies entirely upon fortune is lost when it changes. I believe also that he will be successful who directs his actions according to the spirit of the times, and that he whose actions do not accord with the times will not be successful. Because men are seen, in affairs that lead to the end which every man has before him, namely, glory and riches, to get there by various methods; one with caution, another with haste; one by force, another by skill; one by patience, another by its opposite; and each one succeeds in reaching the goal by a different method. One can also see of two cautious men the one attain his end, the other fail; and similarly, two men by different observances are equally successful, the one being cautious, the other impetuous; all this arises from nothing else than whether or not they conform in their methods to the spirit of the times. This follows from what I have said, that two men working differently bring about the same effect, and of two working similarly, one attains his object and the other does not.”","
    Niccolò Machiavelli,
  "
758,“Formal education and current position can define your worthiness. What makes you extraordinary is defined by your attitude towards others.”,"
    Ashish Patel
  "
759,"“Five years from today, you will be the same person that you are today, except for the books you read and the people you meet.”","
    Charlie ""Tremendous"" Jones
  "
760,“I don't give up. That makes me incredibly resilient or maybe stupid or just plain stubborn. Whichever...”,"
    Destiny Booze
  "
761,“The greatest Emotion is Love.,"
    pablo
  "
762,"“Leave that room, kid. Shut the screen off. Take your dirty shoes, not the pretty ones, and go out to feel the wind. Touch water. Touch earth. Touch wood, touch skin, touch everything you can touch and memorise everything because that’s all you will live off in the end, and that’s all you will need.”","
    Charlotte Eriksson,
  "
763,“أحط نفسك تدريجيا بفريق من الطراز الأول من الأشخاص الذين سيجعلون حياتك بهيجة و سعيدة و غنية إلى أبعد حد. ابدأ على الفور ،،”,"
    Jack Canfield,
  "
764,“Do you know where your breakthrough begins? Your breakthrough begins where your excuses ends.”,"
    Patience Johnson,
  "
765,“One of the Secrets in Life is to Make Stepping Stones out of Stumbling Blocks.”,"
    Jack Penn
  "
766,"“Be mindful of the link between action and outcome. Ask yourself: If I repeat today's action 365 times, will I be where I want to be in a year?”","
    Guideposts Magazine
  "
767,"“For that reason, let a prince have the credit of conquering and holding his state, the means will always be considered honest, and he will be praised by everybody because the vulgar are always taken by what a thing seems to be and by what comes of it; and in the world there are only the vulgar, for the few find a place there only when the many have no ground to rest on.”","
    Niccolò Machiavelli,
  "
768,"“what if I fall? oh, my darling, but if you fly?”","
    Erin Hanson
  "
769,“ليس بالضرورة أن تكون عظيما لكي تحلم ولكن عليك أن تحلم لكي تكون عظيما”,"
    ياسر حارب,
  "
770,“Father has a strengthening character like the sun and mother has a soothing temper like the moon.”,"
    Amit Kalantri,
  "
771,“Train up a child in such a way she or he should go; even when she or he is old she or he will not depart' Proverb”,"
    Santosh Avvannavar,
  "
772,“Do not allow hate to take root in your heart.”,"
    Lailah Gifty Akita
  "
773,“Leaders in OVER their heads is the mere result of getting ahead of their intended SEASON.”,"
    John Paul Warren
  "
774,"“The word ""seek"" is a verb. Are you treating it as such in your life? If you seek change, success, or love, DO it - BE it!”","
    Steve Maraboli,
  "
775,“Life would have been beautiful if there weren't any problems.”,"
    Santosh Avvannavar,
  "
776,"“We often fail to see that there is an invisible wall in a relationship - Cord 10, In Between Us!”","
    Santosh Avvannavar
  "
777,“How would your life be different if...you had a plan of action towards your goals? Let today be the day...You stop allowing your days to be stolen by busy nothingness and take calculated steps towards your goals.”,"
    Steve Maraboli,
  "
778,"“People often try to distinguish between personal and professional life, but they end failing - Cord 8 : Are we Computers?”","
    Santosh Avvannavar
  "
779,“A champion is someone who gets up when he can't.”,"
    Jack Dempsey
  "
780,“Your only limitations are the ties you allow to bind you.”,"
    Saundra Dalton-Smith,
  "
781,“Never let the opinion of another affect your opinion of yourself.”,"
    Teresa Mummert
  "
782,"“Encourage, lift and strengthen one another. For the positive energy spread to one will be felt by us all. For we are connected, one and all.”","
    Deborah Day
  "
783,"“Always strive to aim for the highest peak of the goals in life you have set, this way if you manage to reach even half way toward a goal, landing in the middle is not such a bad place to end up.”","
    Victoria Addino
  "
784,"“Someone needs to fight, someone needs to sacrifice, someone needs to inspire, someone needs to be a hero.”","
    Amit Kalantri,
  "
785,“To embark on the journey towards your goals and dreams requires bravery. To remain on that path requires courage. The bridge that merges the two is commitment.”,"
    Steve Maraboli,
  "
786,"“Success is a decision, not a gift.”","
    Steve Backley,
  "
787,"“If you take any step, no matter how small it is, towards achieving your dreams then you will surely find the right path and reach the abundance that lies in store for you.”","
    Stephen Richards,
  "
788,"“With every challenge you face, there is an opportunity hidden that will lead you towards the path of wealth and abundance.”","
    Stephen Richards,
  "
789,"“Limitations are like mirages created by your own mind. When you realise that limitation do not exist, those around you will also feel it and allow you inside their space.”","
    Stephen Richards,
  "
790,"“Your core, lying deep within you, is what makes you what you are. Some call it the soul, the Higher Self, the true self, the being and so on. The name is unimportant once you realize that you are more than your looks and outward appearance.”","
    Stephen Richards,
  "
791,"“If someone does not consider those around them to be valuable and hold only themselves in high regard, they too have a very bad self-esteem.”","
    Stephen Richards,
  "
792,"“When you are drowned by your sorry state, and you feel as if you are carried away from the road that leads to your desires, you should know that you are the one responsible for being led away from the right path.”","
    Stephen Richards,
  "
793,"“The power of hope! Even a lack of ambition can, for a time, pay off as a necessary facet, as long as hope outweighs it.”","
    Criss Jami,
  "
794,"“Love' is the only weapon I have, I will defend with love, I will attack with love.”","
    Amit Kalantri
  "
795,"“Get out of your own way… stop the paralysis by analysis… decide what you want, create a simple plan, and get moving!”","
    Steve Maraboli,
  "
796,"“Jedi are always assessing situations, actions and possibilities. Jedi don’t just think outside of the box with the help from the Force, they also adapt to situations outside of the box!”","
    Stephen Richards,
  "
797,“In reality there are no limitations. They are vibrant and changeable to whatever form you want them to take to realise your goals.”,"
    Stephen Richards,
  "
798,"“Jedi are conversationalists and negotiators, bringing people together and solving problems. Jedi listen and feel to what others are saying.”","
    Stephen Richards,
  "
799,“The gratitude that you feel leads to faith in the abundance and with every resonance that radiates from your mind more strong feelings of faith start to reside in you.”,"
    Stephen Richards,
  "
800,"“The Jedi is a practitioner of mind mastery. He realizes that whatever they are experiencing, they are creating and that they can change their lives in an instant by changing their thoughts, their focus and the way they are observing and engaging the energy of the world around them and the people who they’ve invited into their lives to play whatever roles they’ve chosen them to play.”","
    Stephen Richards,
  "
801,"“Gone are the days when 19-inch biceps would once command respect. A Jedi doesn’t walk around with their arms flexed and with a thousand yard stare in their eyes. They walk with a good posture, their head held high and with a serious, yet friendly, look on their face.”","
    Stephen Richards,
  "
802,"“Humans, unlike Jedi, are powerfully afraid of rejection. We do not survive well alone, so humans as a species are especially vulnerable to thoughts that make us afraid the rest of the “tribe” will desert us to die a sad, lonely death.”","
    Stephen Richards,
  "
803,“Strong lives are motivated by dynamic purposes.”,"
    Kenneth Hildebrand
  "
804,“The choice to make good choices is the best choice you can choose. Fail to make that choice and on most choices you will lose.”,"
    Ryan Lilly
  "
805,"“You spend your TIME to make a DIME. You lose your HEALTH to make your WEALTH, but at the end it is FUNNY because you leave back all your MONEY.”","
    rvm
  "
806,“Failing to make it to the list of the best 5 students in class or not being named the team captain should not make anyone feel like they have failed.”,"
    Stephen Richards,
  "
807,"“When you act on your beliefs, the realisation that happens is caused by you and this will in turn lead to a consequence.”","
    Stephen Richards,
  "
808,"“Tap into ‘The Force’ and soon, at any given time that you need that extra shot of high octane confidence; you will soon be like a Jedi Master at this technique.”","
    Stephen Richards,
  "
809,"“Everyday of your life is a another lesson. If you learn the lesson well and apply it; whether positive or negative, you determine what happens in your tomorrow.”","
    David Kofi Awusi
  "
810,“[...] what's the use of lying down to die as long as we can stand up and walk.”,"
    Dean King,
  "
811,“What is done is done for the love of it- or not really done at all.”,"
    Robert Frost
  "
812,“Your environment will eat your goals and plans for breakfast.”,"
    Steve Pavlina
  "
813,“POEMINHA DO CONTRA,"
    Mario Quintana
  "
814,"“Stop allowing your outdated ideas to hinder your progress. How would your life be different if you became open to new information that can refine, improve, enhance your way of thinking, and empower your way of living?”","
    Steve Maraboli,
  "
815,“Pure happiness and peace are at their peak when your body is in harmony with itself.”,"
    Asa Don Brown,
  "
816,“البسطاء لا يحبون الأضواء ولا يشعرون بالحاجة إليها فالضوء المنبعث في داخلهم يكفيهم ويشعرهم بأنهم أهم من يعيش على الكرة الأرضية دون أن يصيبهم ذلك بداء الغرور”,"
    ياسر حارب,
  "
817,"“If we can acquire an attitude of self-belief, then we will surely determine our future actions and our future life opportunities.”","
    Stephen Richards,
  "
818,"“It's the days you have every right to breakdown and fall apart, yet choose to show up anyway that matter most. Don't diminish the small steps that others can't see.”","
    Brittany Burgunder
  "
819,“Every minute doing one thing is a minute not doing something else. Every choice is another choice not made another path grown over lost.”,"
    Jerry Weintraub,
  "
820,“إن كثرة تفكيرنا في آلامنا تحيلها إلى واقع حتى وإن كانت وهماً وتضخّمها في أعيننا رغم ضآلتها أحياناً .. ألم تتساءل لماذا لا تموت القردة المصابة بمرض الإيدز بسرعة؟ الجواب هو لأنها لا تعلم بأنها مريضة”,"
    ياسر حارب,
  "
821,“Second half of the year starts NOW July 1st with the next 6 months being MORE important than the last 6 months. I Your Name promise to do all that I can to achieve my Goal . I will not sit on a corner wait I will seek my opportunity. I promise to go after my Goal with passion knowing that the clock is ticking… Sign and date”,"
    Pablo
  "
822,“Life seems to be fashioned and formed best out of the obstacles that seem unbearable.”,"
    John Paul Warren
  "
823,"“There are two kinds of leaders, cowboys and Shepherds. Cowboys drive and Shepherds lead.”","
    John Paul Warren
  "
824,"“While spirituality provides an efficient and endless fuel for your mind and body, you must burn that fuel with human action towards your goals, dreams, and desires.”","
    Steve Maraboli,
  "
825,"“I have not learned a single lesson, been inspired or impacted by another person’s life void of negative experiences.”","
    John Paul Warren
  "
826,"“It's not about what I SEE for our future, or humanity; It's about what I DO for our future and humanity.”","
    Steve Maraboli
  "
827,“الظلال تمنحنا الراحة وكثرتها تمنحنا الخمول”,"
    ياسر حارب,
  "
828,“الحياة دون أحلام هي حياة مؤلمة بلا شك”,"
    ياسر حارب,
  "
829,“Small thinking and big dreams is an oxymoron”,"
    John Paul Warren
  "
830,“The Sun never sets. It is we who rise think to shine. ”,"
    Earle Birney
  "
831,“The real architect of a life is the hard and almost impossible circumstances one faces.”,"
    John Paul Warren
  "
832,"“If you believe ,you can.","
    Divyansh Mishra DM
  "
833,“How would your life be different if...You didn’t wait for someone else to fix a problem or social issue? Let today be the day...You take up a cause that you feel in your heart and give your time and efforts towards that cause.”,"
    Steve Maraboli,
  "
834,“We don't have to take our personality so personally.”,"
    Wes Nisker
  "
835,“Dust sleeping on your bookshelf,"
    Akash Mandal
  "
836,“The Sun-Dial at Wells College,"
    Henry Van Dyke
  "
837,"“For young adults,the growth from silly to serious can be very fast, indeed.”","
    Dean Cumings
  "
838,“Live Life Fully & Abundantly”,"
    Gabbriella Conte
  "
